course_id,university_id,university_name,course_code,course_name,course_level,duration_years,intl_fee_per_year_aud,entry_requirement,entry_score_ielts,entry_score_gmat,undergrad_prerequisites,grad_employment_rate_pct,grad_salary_median_aud,career_pathways,anzsco_code,course_url_path,specializations
1001,1,University of Melbourne,BS-ENG,Bachelor of Engineering,Undergraduate,4,58000,VCE/International equivalent,6.5,N/A,English+Math,92,82000,Software Engineer|Solutions Architect|Project Manager,2611,engineering/bachelor,Electrical|Mechanical|Civil|Chemical
1002,1,University of Melbourne,MS-COMP,Master of Computer Science,Postgraduate,2,58000,Bachelor in CS/related,7.0,N/A,Programming fundamentals,95,95000,Senior Developer|Tech Lead|AI Specialist,2611,engineering/masters-cs,AI|Machine Learning|Cloud Computing
1003,1,University of Melbourne,MS-BUS,Master of Business Administration,Postgraduate,2,56000,Bachelor+2yrs work exp,7.0,650,Leadership experience,88,110000,Business Manager|Consultant|Director,1200,business/mba,Finance|Marketing|Strategy
1004,1,University of Melbourne,BA-COM,Bachelor of Commerce,Undergraduate,3,52000,VCE/International equivalent,6.5,N/A,English+Math,85,78000,Accountant|Financial Analyst|Investment Banker,2211,business/commerce,Accounting|Finance|Marketing
1005,1,University of Melbourne,MS-DATA,Master of Data Science,Postgraduate,2,57500,Bachelor+1yr relevant exp,7.0,N/A,Statistics/programming,94,98000,Data Scientist|Analytics Engineer|ML Engineer,2724,science/data-science,Business Analytics|Statistics|AI

2001,2,UNSW Sydney,BS-ENG,Bachelor of Engineering,Undergraduate,4,59500,NSW HSC/IB,6.5,N/A,English+Physics+Math,93,84000,Civil Engineer|Electrical Engineer|Software Engineer,2631,engineering/bachelor,Aerospace|Software|Mechatronics
2002,2,UNSW Sydney,MS-ENG,Master of Engineering,Postgraduate,2,57500,Bachelor in Engineering,7.0,N/A,Engineering fundamentals,94,96000,Senior Engineer|Project Manager|Technical Director,2631,engineering/masters,Structural|Renewable Energy|Digital Systems
2003,2,UNSW Sydney,BT-IT,Bachelor of IT,Undergraduate,3,54000,NSW HSC/IB,6.5,N/A,Math+English,90,80000,Software Developer|Systems Analyst|Cloud Architect,2611,it/bachelor,Cybersecurity|Data Science|Cloud
2004,2,UNSW Sydney,MS-BUS,Master of Business Analytics,Postgraduate,1.5,48000,Bachelor+GMAT 600,7.0,600,Quantitative skills,91,94000,Business Analyst|Data Scientist|Management Consultant,2724,business/analytics,Finance Analytics|Marketing|Operations
